No.,Smartphone Name,Price ($)
1,Samsung Galaxy A10e 32GB Unlocked Phone - Black,184.
2,Samsung Galaxy A12 SM-A125F Dual-SIM 128GB ROM + 4GB RAM Factory Unlocked 4G/LTE Smartphone (Black) - International Version,269.
3,Samsung Galaxy A12 SM-A125F Dual-SIM 128GB ROM + 4GB RAM Factory Unlocked 4G/LTE Smartphone (Blue) - International Version,257.
4,Samsung Galaxy A12 SM-A125F Dual-SIM 64GB ROM + 4GB RAM Factory Unlocked 4G/LTE Smartphone (Black) - International Version,235.
5,"Latest Android Phone, Ulefone Note 6 Unlocked Smartphone, Quad-core 1GB+32GB Canadian Version Mobile Phone, 3300mAh Battery Capacity, 6.1” HD+ Unlocked Cell Phones Canada(Black)",119.
6,"Google Pixel 3 XL Unlocked GSM/CDMA - US Warranty (Just Black, 64GB)",247.
7,Google Pixel 6 – Unlocked Android 5G Smartphone with 50 Megapixel Camera and Wide-Angle Lens – 128 GB – Stormy Black,798.
8,Samsung Galaxy A12 SM-A125F Dual-SIM 64GB ROM + 4GB RAM Factory Unlocked 4G/LTE Smartphone (Blue) - International Version,236.
9,"Unlocked Cell Phones Canada, Ulefone Note 6 Android Phone, 6.1” HD+ 32GB Smartphone Unlocked, Ultra-Slim Lightweight Cell Phone Dural SIM, 3G Mobile Phone for Canada (Purple)",115.
10,Samsung Galaxy A12 SM-A125F Dual-SIM 64GB ROM + 4GB RAM Factory Unlocked 4G/LTE Smartphone (White) - International Version,239.
11,"Easyfone Prime-A1 GSM 3G Unlocked Senior Flip Mobile Phone, Big Button Hearing Aids Compatible Easy-to-Use Basic Cell Phone with Charging Dock(Red)",89.
12,"Samsung Galaxy A52 (128GB, 6GB) 6.5"" Super AMOLED 90Hz Display, 64MP Quad Camera, All Day Battery, Dual SIM GSM Unlocked (Canada + Global) 4G Volte A525M/DS (Fast Car Charger Bundle) (Awesome Black)",584.
13,Samsung Galaxy A12 SM-A125F Dual-SIM 128GB ROM + 4GB RAM Factory Unlocked 4G/LTE Smartphone (Black) - International Version,269.
